dapil,partai,nama,pasangan
aceh-utara,PARTAI BULAN BINTANG,dr.. REZA,SITI
aceh-utara,PARTAI BULAN BINTANG,"IR.. H. T. MUTTAQIN, MM",UMMI ATTIYAH
aceh-utara,PARTAI BULAN BINTANG,IR.. ZAINAL ABIDIN,SAFWANI
aceh-utara,PARTAI BULAN BINTANG,ELLYANA,AZHAR
aceh-utara,PARTAI BULAN BINTANG,"JAILANI, SH",KHAIRINA
aceh-utara,PARTAI BULAN BINTANG,DINA ANDIWANI,Almarhum
aceh-utara,PARTAI DAERAH ACEH,AYU NITA,MURTHALA
aceh-utara,PARTAI DAERAH ACEH,MARZUKI,ROSMAWATI A MAJID
aceh-utara,PARTAI DAERAH ACEH,"TGK RUSLAN BIN ABDUL JALIL, S.SOS,. MM","RAHMIYANTI, S.Pd.I"
aceh-utara,PARTAI DAERAH ACEH,"AMARDUNA, S.Pd",NURLINA
aceh-utara,PARTAI DAERAH ACEH,"NOVIANTY, S.Pd",MUJIBURRAHMAN
aceh-utara,PARTAI DEMOKRAT,"TANTAWI, S.IP","HJ. MONALISA, S.Pd."
aceh-utara,PARTAI DEMOKRAT,"M. HASBI, S.Sos. MSM.","RASMIA, S.Pd."
aceh-utara,PARTAI DEMOKRAT,"TARMIDINSYAH ABUBAKAR, SE.",SRI INDAH MAYA
aceh-utara,PARTAI DEMOKRAT,"NAZARUDDIN, SH.",RITA ZAHARA
aceh-utara,PARTAI DEMOKRAT,"MUHAMMAD KAMAL, SE.","NURUL AKMAL, S.KM."
aceh-utara,PARTAI DEMOKRAT,"NUR ANISAH, SE.",NOFALIDA
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,"H. RIDWAN YUNUS, SH",NAILA HAFNI
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,JUNAIDI YAHYA,Karina Olivia
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,ROSMAWATI,MUZAKIR A KASEM
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,MUHAMMAD ISA,AFRIDA
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,ASNAWI IDRIS,MAULIDAR
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,FATMA SARI BEWI,SURYA EFENDI
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,ABDUL MUKTI,DIAN ZOHRA
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,SOFYAN M. ADAM,SUTRI YANTI (Alm)
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,MAULIDAR,MUHAMMAD ADLI
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,INTAN HUMAIRA,Dr.LUKMAN HAKIM.B
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,MUKLIS AZHAR,IDA IRAWATI
aceh-utara,PARTAI GERAKAN PERUBAHAN INDONESIA,"ANTONI ZULKARNAINI, SH",SRI RAHAYU
aceh-utara,PARTAI GERAKAN PERUBAHAN INDONESIA,WINDA LESTARI,T. SAIFUL
aceh-utara,PARTAI GOLONGAN KARYA,"TEUKU ALFIANSYAH, SH",Rizki Amelia Putri
aceh-utara,PARTAI GOLONGAN KARYA,"NAZAR SAPUTRA, S.E",NURUL RAHMI
aceh-utara,PARTAI GOLONGAN KARYA,DRH. NURAINI MAIDA,Ir. Sori hamonangan
aceh-utara,PARTAI GOLONGAN KARYA,T. MAULANA YAHYA,"FEBY SUSANTI,SE"
aceh-utara,PARTAI GOLONGAN KARYA,SAYUTI M.NUR,NELLITA
aceh-utara,PARTAI GOLONGAN KARYA,"TJUT IKAMAULIZA, S.Pd",SABRI BADRUDDIN
aceh-utara,PARTAI GOLONGAN KARYA,ZULKIFLI,SAUDAH
aceh-utara,PARTAI GOLONGAN KARYA,"MUHAMMAD ICHSAN, S.T",AFRIANI
aceh-utara,PARTAI GOLONGAN KARYA,FAUZIAH HANUM,SAIMUN
aceh-utara,PARTAI GOLONGAN KARYA,T. MUHAMMAD ISA AZIZ,AIDA FONNA
aceh-utara,PARTAI KEADILAN DAN PERSATUAN INDONESIA,"AFRIDAWATI, S.Pd",JUFRIADI
aceh-utara,PARTAI KEBANGKITAN BANGSA,IDRIS,CUT SUFLIATI
aceh-utara,PARTAI KEBANGKITAN BANGSA,"HELMI MUSA KUTA, SH",NOVIE ERLEY
aceh-utara,PARTAI KEBANGKITAN BANGSA,"HALIMATUSSAKDIAH, SE",PANDAPOTAN HARAHAP
aceh-utara,PARTAI KEBANGKITAN BANGSA,"BADRUDDIN, SE MM",KURNIASIH
aceh-utara,PARTAI KEBANGKITAN BANGSA,"NASRULLAH, SHI",MURNIATI YUSUF
aceh-utara,PARTAI NASDEM,"T. RUDI FATAHUL HADI, S.HI",Martiya Winda Sari
aceh-utara,PARTAI NASDEM,"INDRIANI, Amd",Teuku Izin
aceh-utara,PARTAI NASDEM,YUCHANDRA. H,Gustia Erna Wahyuni
aceh-utara,PARTAI NASDEM,"ZAINI, S.H",DARMAWATI
aceh-utara,PARTAI NASDEM,"Tgk. H. SANUSI USMAN, S.Pd.I",Khairiyah
aceh-utara,PARTAI NASDEM,DESRIANI,ISMAIL ALI
aceh-utara,PARTAI NASDEM,M. NASIR,SAFARIYAH
aceh-utara,PARTAI NASDEM,SUNARYO,MELYA NANDA
aceh-utara,PARTAI NASDEM,CUT MARIATI,k
aceh-utara,PARTAI NASDEM,"Drs. H. MUHAMMAD JAMIL, M.Kes",Hj. Suswita
aceh-utara,PARTAI SIRA,ABDUL HADI,MISYATI
aceh-utara,PARTAI SIRA,"ISMAIL, S.Pd.I., M.Pd.",NURHAYATI
aceh-utara,PARTAI SIRA,MAHDALENA,Ir. AHMAD FAUZA OBANY
aceh-utara,PARTAI SIRA,H. SULAIMAN IBRAHIM,CUT SURDIANA TM DAUD
aceh-utara,PARTAI SIRA,MUSLIM SYAMSUDDIN,Sufiyanti
aceh-utara,PARTAI SIRA,"MIFTAHUL JANNAH, ST","Safaruddin, SH"
aceh-utara,PARTAI SIRA,"MUHAMMAD DAUD, SKM., M.Si",REZEKI FERDIANTI
aceh-utara,PARTAI SIRA,"SATRIA PUTRA, A. Md. Kep",MAULINDAWATI
aceh-utara,PARTAI SIRA,AMIRANDA AB,NURMALI
aceh-utara,PARTAI SOLIDARITAS INDONESIA,ZULKIFLI,fadillah
aceh-utara,PARTAI SOLIDARITAS INDONESIA,HUSDALIFAH,SYAMSUL BAHRI
aceh-utara,PERSATUAN INDONESIA,MURTALA,siti masitah
aceh-utara,PARTAI AMANAT NASIONAL,TEUKU HASBULLAH. HD,Dewi Diana Aji
aceh-utara,PARTAI AMANAT NASIONAL,"Dr. AHMAD FARHAN HAMID, MS","Ir. Ferry Soraya, MSIE"
aceh-utara,PARTAI AMANAT NASIONAL,"ERMIADI ABDUL RAHMAN, ST","NOVIANITA AR, SKM"
aceh-utara,PARTAI AMANAT NASIONAL,"ROSNAWATI, S.Pd.I",KHUWALID
aceh-utara,PARTAI AMANAT NASIONAL,"H. BASRUN YUSUF, SH",Damayanti
aceh-utara,PARTAI BERKARYA,Drs. TEUKU BUSTAMI UMAR,ERNAWATI. B
aceh-utara,PARTAI BERKARYA,"Drs. T.A. RAHMAN ALBA, MM","Cut Nurhayati,SE Ak"
aceh-utara,PARTAI BERKARYA,SUNDARI,T. MELDY SAHPUTRA
aceh-utara,PARTAI BULAN BINTANG,"AZHARI CAGE, S.IP",TARMIZI HAMZAH
aceh-utara,PARTAI BULAN BINTANG,"H. A. RIDWAN M DALLAH, SE",HJ. DR. FATIMAH ZURAIDA
aceh-utara,PARTAI BULAN BINTANG,"ISWADI, M.Pd",SITI AMINAH
aceh-utara,PARTAI BULAN BINTANG,"PIPIH SOPIAH, SE",ABDULLAH
aceh-utara,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Ir. H. TAGORE ABU BAKAR,MEUTIA FAUZIAH
aceh-utara,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"HJ. MARIA KARSIA, S.S.",A. TAVIP SYAH
aceh-utara,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"GUNTARAYADI, S.P.",EMI SHINTA SITANGGANG
aceh-utara,PARTAI DEMOKRASI INDONESIA PERJUANGAN,HUSAINI MH,DARA ARUNI
aceh-utara,PARTAI DEMOKRASI INDONESIA PERJUANGAN,MUHAMMAD SUFI,Rizwana
aceh-utara,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"LISNAWATI GINTING, S.H.,M.H.",RIDHO MARIUS BANGUN
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,"Ir. H. T. A. KHALID, M.M",CUT AFNI ZAHARA
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,CUT PUTEH,BAPAK
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,"FERRY MUNANDAR, ST",IBU
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,"Ir. H. NASARUDDIN, MM",Hj. APINI
aceh-utara,PARTAI GERAKAN INDONESIA RAYA,"SITI NURMASYITHAH, S.Sos",BAPAK
aceh-utara,PARTAI GOLONGAN KARYA,ILHAM PANGESTU,VENTY ANGRIANI
aceh-utara,PARTAI GOLONGAN KARYA,DRS. H. MARZUKI DAUD,POCUT OLLY IDAMULINA
aceh-utara,PARTAI GOLONGAN KARYA,"FIRMANDEZ, S.E., Ak.",ROSMULYATI
aceh-utara,PARTAI GOLONGAN KARYA,"REDUK NILAWARNI, S.Pd",ZAMHARIR AR
aceh-utara,PARTAI GOLONGAN KARYA,T. YUSNI,ROSMALINA
aceh-utara,PARTAI KEADILAN SEJAHTERA,"H. MUHAMMAD NASIR DJAMIL, S. AG.,M. Si",KHASANAH
aceh-utara,PARTAI KEADILAN SEJAHTERA,"TGK. H. MUHAMMAD NUR, M. Si",dr. Nur Asiah Fitria
aceh-utara,PARTAI KEADILAN SEJAHTERA,BARMANSYAH,INDI LISTYOWATI
aceh-utara,PARTAI KEADILAN SEJAHTERA,"M. YUSUF ISMAIL PASE, SH, MH",HJ. MEUTIA AHMAD S.Pd
aceh-utara,PARTAI KEADILAN SEJAHTERA,"SARI DEWI, SE.Ak",M. Fauzi
aceh-utara,PARTAI KEBANGKITAN BANGSA,"SAYUTI, SH.MH",YULINDA
aceh-utara,PARTAI KEBANGKITAN BANGSA,RUSLAN M. DAUD,HJ. FARIDAH BINTI ADAM
aceh-utara,PARTAI KEBANGKITAN BANGSA,RAHMI ABDI,Ngatimin
aceh-utara,PARTAI KEBANGKITAN BANGSA,"FAISAL RIDHA, S.Ag., MM",Maitanur binti Mahyiddin
aceh-utara,PARTAI NASDEM,ZULFAN LINDAN,Nurdjannah
aceh-utara,PARTAI NASDEM,MUHARUDDIN,Syarifah Rahmah
aceh-utara,PARTAI NASDEM,FATIMAH ZUHRA,Muhammad Syukri
aceh-utara,PARTAI NASDEM,EFENDI,Asmaryati
aceh-utara,PARTAI NASDEM,"DR. IBRAHIM HASYIM SE, MM",Joy Sarabia Ibrahim
aceh-utara,PARTAI PERSATUAN PEMBANGUNAN,"H ANWAR IDRIS,DRS",Hj. Rohayanilawati
aceh-utara,PARTAI PERSATUAN PEMBANGUNAN,AKMAL HANIF,Putri
aceh-utara,PARTAI PERSATUAN PEMBANGUNAN,NURHANITA ZAHARA,"Sudianto, SH"
aceh-utara,PARTAI PERSATUAN PEMBANGUNAN,Ir. SYUKUR KOBATH,Iwardatika
aceh-utara,PARTAI PERSATUAN PEMBANGUNAN,"JAMALUDIN, SE",Arie Wardiana
aceh-utara,PARTAI PERSATUAN PEMBANGUNAN,CUT FATNIAH,"Dedi Fariadi,M.Pd"
aceh-utara,PARTAI SOLIDARITAS INDONESIA,"KAMARUDDIN, SH",RR ILMIA ASTUTI RAHAYU
aceh-utara,PARTAI SOLIDARITAS INDONESIA,"RAMADLAN, ST, MT",ROSNAWATI AMD KES
aceh-utara,PARTAI SOLIDARITAS INDONESIA,IKA LESTARI,NN
aceh-utara,PARTAI SOLIDARITAS INDONESIA,ZAMZAMI,CUT SANTI NORAVITA
aceh-utara,PERSATUAN INDONESIA,HERMAN KOSASIH,RATNA DEWI
aceh-utara,PERSATUAN INDONESIA,"HERMAN BAHARI, S.H",SITI AISYAH
aceh-utara,PERSATUAN INDONESIA,"RAZALI ZAINUDDIN, A.Md.","Idawati, S.Km"
aceh-utara,PERSATUAN INDONESIA,SIWI ASRI MOPRIRATNA,DONNY APRILIANANDA
asahan,PARTAI AMANAT NASIONAL,YAHDI KHOIR HARAHAP,SATIA MARINI MARGOLANG
asahan,PARTAI AMANAT NASIONAL,"HJ. ZURAIDAH GHINA, SE",IR. DES ARIYANTO
asahan,PARTAI AMANAT NASIONAL,ABDUL KHOLIK HARAHAP,KHAIRIAH SIREGAR
asahan,PARTAI AMANAT NASIONAL,"BUDI ARDHYA UTAMA, S.SOS",LIZA DAMAYANTI LAFAU
asahan,PARTAI AMANAT NASIONAL,ANDA SUHENDRA RAMBE,EKA DIAN RAHMAYUNI
asahan,PARTAI AMANAT NASIONAL,"SANTI OCTAVENTI, SPD",JIMMI ALICAN SIREGAR
asahan,PARTAI AMANAT NASIONAL,NURDIN,NIRWATI KEMALA SARI
asahan,PARTAI AMANAT NASIONAL,ZAHARA,MUHAMMAD GUSTIAN
asahan,PARTAI AMANAT NASIONAL,MUHAMMAD TASLIM,DAHWANI FITRI
asahan,PARTAI BERKARYA,MAYANG SARI,SUMALI
asahan,PARTAI BULAN BINTANG,"HADDAMAINI, SH",DRS. JAMRAH
asahan,PARTAI BULAN BINTANG,"IR. T. ALEXANDER FASHA, M.Sc",Erni Rohaeni
asahan,PARTAI BULAN BINTANG,"SAFRIDA HANUM DAMANIK, S.Pd",MUHAMMAD HAFIZ
asahan,PARTAI BULAN BINTANG,"ZAINAL, S.Pd",ROSIDAH
asahan,PARTAI BULAN BINTANG,"KHAIRUL ANHAR HARAHAP, SH","HENNY PRASILAWATY, SKM"
asahan,PARTAI BULAN BINTANG,SAIDAH,AZHAR AMRI
asahan,PARTAI BULAN BINTANG,"AL HASYIR, SAB",ENCIK ADE SURYANI LUBIS
asahan,PARTAI BULAN BINTANG,WIWIK SUGENG,MARNISA
asahan,PARTAI BULAN BINTANG,ZINNIRA,NAZARUDDIN NST SP
asahan,PARTAI BULAN BINTANG,"H. DAMRI TAMBUNAN, SHI, S.Pd.I","NINING SRI WAHYUNI, S.Pd.I"
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Drs. H.. JUMIRAN ABDI,Hj. SITI NIRWANA BARUS
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"DR. H.. THAMRIN, M. Hum","Dra. ARMAIAVI JANNAH, NST"
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,ARIE ZOKHI NAMAMURA RANGKUTI,"ILNA MAULIDA, S.Psi"
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Ir.. PIRDOT,MARIA ELVI JOJOR BR SINAGA
asahan,PARTAI DEMOKRAT,ABDUL HALIM,DEBI HERIANA NASUTION
asahan,PARTAI DEMOKRAT,"ZULKIFLI, S.PD.I","FATMAH SYARAH, S.PD.I, , M.PD"
asahan,PARTAI DEMOKRAT,"Drs.H.. DARWIS, MSi",SITI FATIMAH
asahan,PARTAI DEMOKRAT,"QAHFI ROMULA SIREGAR, MM","JUMEIDA BR SIMATUPANG, SE"
asahan,PARTAI GERAKAN INDONESIA RAYA,"SRI KUMALA, SE.MM",SUPRIADINATA
asahan,PARTAI GERAKAN INDONESIA RAYA,"IR. KHAIRUL SALEH, MT",Roslina Br. Rangkuti
asahan,PARTAI GERAKAN INDONESIA RAYA,"ZULFAN, ST",Angelina
asahan,PARTAI GERAKAN INDONESIA RAYA,"PAGAR JENSWIN PANDIANGAN, S.Ked",dr.Nurlela Mega Simanjuntak
asahan,PARTAI GERAKAN INDONESIA RAYA,FAIZAL,Arini Adha
asahan,PARTAI GERAKAN INDONESIA RAYA,"AFRIZA AFNI, IM",M.Asri Sa ban
asahan,PARTAI GERAKAN INDONESIA RAYA,BENNY HIDAYAT,LIA ARIANI SINAGA
asahan,PARTAI GERAKAN INDONESIA RAYA,ZUL BAHARI AMRA SH,"Nani Kurniati,S.Si"
asahan,PARTAI GOLONGAN KARYA,"SYAMSUL BAHRI BATUBARA, SH",HJ. ROSMAYANA TANJUNG (ALM)
asahan,PARTAI GOLONGAN KARYA,"DHODY THAHIR, SE",ADE FEBRINA
asahan,PARTAI GOLONGAN KARYA,"DIA RAMAYANA, S.Th.I., MM",RONI RAHMAD
asahan,PARTAI GOLONGAN KARYA,MAHYARUDDIN SALIM B,MAS HANDAYANI SIAHAAN
asahan,PARTAI GOLONGAN KARYA,ROMAY NOOR,FARIDA
asahan,PARTAI GOLONGAN KARYA,"Dra. HJ. FATIMA NASUTION, MA",Alm. ISHAK SULAIMAN LUBIS
asahan,PARTAI GOLONGAN KARYA,"H. SELAMAT, SE., M.Si","RAHMA DANIAH, SE"
asahan,PARTAI GOLONGAN KARYA,ABDUL GAFUR RITONGA,RICCA FEBRIANI HUTAHURUK
asahan,PARTAI GOLONGAN KARYA,"USMAN MARPAUNG, S.Pd",ZULIA HAZLI
asahan,PARTAI HATI NURANI RAKYAT,"WARISNO, SH",Siah
asahan,PARTAI HATI NURANI RAKYAT,"ABDUL MANAF, SH, MH",JULIANA
asahan,PARTAI HATI NURANI RAKYAT,"EBENEJER SITORUS, SE",Nelly Silaen
asahan,PARTAI HATI NURANI RAKYAT,MEMET S SIREGAR,Siti Chairunisa
asahan,PARTAI HATI NURANI RAKYAT,"DIANA SISTER, S.Pd",Irwansyah Siregar
asahan,PARTAI HATI NURANI RAKYAT,DARNIWATI,Rashari Syahrifin
asahan,PARTAI HATI NURANI RAKYAT,"ZULKIFLI AR, SH, M. Hum","Farida Hanum, SH"
asahan,PARTAI KEADILAN DAN PERSATUAN INDONESIA,ERRIS JULIETTA NAPITUPULU,MAROLOP PANGARIBUAN
asahan,PARTAI KEADILAN DAN PERSATUAN INDONESIA,AGUS IRVANSYAH,ARINA WIDIANA
asahan,PARTAI KEADILAN DAN PERSATUAN INDONESIA,JONARI HENDRA SIHOMBING,TIORIDA SIMATUPANG
asahan,PARTAI KEADILAN DAN PERSATUAN INDONESIA,SUHENDRY,DEWI EVA SUSANTI
asahan,PARTAI KEADILAN DAN PERSATUAN INDONESIA,JEFRI ROI R. ARUAN,DEWI BR SIREGAR
asahan,PARTAI KEADILAN SEJAHTERA,"AHMAD HADIAN, S.Pd.I.",HENI JELITA PANJAITAN
asahan,PARTAI KEADILAN SEJAHTERA,"YUSWIN ISKANDAR YUSLAN, S.E.","ARITHA BR PANDIA, S.Si,. Apt."
asahan,PARTAI KEADILAN SEJAHTERA,"IKA MEISITA, S.Pd.","AHMAD NUR RAMADHANSYAH, S.Pd."
asahan,PARTAI KEADILAN SEJAHTERA,"H. AHMAD KOSIM MARPAUNG, S.Ag., M.Si.","EKA HARYATI, S.Ag."
asahan,PARTAI KEBANGKITAN BANGSA,"ABDUL JABBAR, SE., M.Si.",NURLELA SIREGAR
asahan,PARTAI KEBANGKITAN BANGSA,"RUKAYAH NOPRILAN SIAGIAN, S.Pd.",SUHENDRI
asahan,PARTAI NASDEM,Dra. AINUL FUAD,dr. M. Arief Lubis
asahan,PARTAI PERSATUAN PEMBANGUNAN,"ZAHARUDDIN, SE",Rusminar
asahan,PERSATUAN INDONESIA,RAJUDDIN SINAGA,Hj. Ratna Wati
asahan,PERSATUAN INDONESIA,FIRMA PANE,Ani Farida
asahan,PERSATUAN INDONESIA,BUSTAMAN MANGATAS SAMOSIR,MELINDA
asahan,PERSATUAN INDONESIA,"Drs. TOMMET SIMBOLON, M.Si","Elsa Br Hutagaol S.Pd., M.M"
asahan,PERSATUAN INDONESIA,"IRMA ARIFIN, S.I.Kom",PASIFIC
asahan,PERSATUAN INDONESIA,"Drs. ROMULUS TINDAON, SH",HOTMA IDAULI SITORUS
asahan,PERSATUAN INDONESIA,"ZAMIAH, Amk","RAHMAT AL HUDAWI, S.Pd"
asahan,PERSATUAN INDONESIA,"TAUFIK ABDI HIDAYAT, S.Sos",IRA VANNY
asahan,PERSATUAN INDONESIA,"Ir. ARIEF FANSYURI NASUTION, M.Si",Linda Yana Lubis
asahan,PARTAI AMANAT NASIONAL,"Hj. MAYSARAH, S.Sos., MM",Alm. H. EFFENDI A.R
asahan,PARTAI AMANAT NASIONAL,HAPOSAN HARIANTO TOBING,HERPUNA TIAJATI
asahan,PARTAI AMANAT NASIONAL,"ERLINA, DRA",ZULHANIFI
asahan,PARTAI AMANAT NASIONAL,CHAIRUL PURBA,NURAIDA HASIBUAN
asahan,PARTAI AMANAT NASIONAL,BUDI IRAWAN,RETNO INDRIASARI
asahan,PARTAI AMANAT NASIONAL,DEDDY RAHMAN,NISSA NOVRISKA YUDHA
asahan,PARTAI BERKARYA,"EKA HADI SUCIPTO, SE.",ALDANALIA DELVI
asahan,PARTAI BERKARYA,"AHMAD BAY LUBIS, S.H., M.H.","ELVINASARI NASUTION, SE"
asahan,PARTAI BERKARYA,"WINTER EDUWARD SITUMORANG, SH",EPPI NIARTI PANGGABEAN
asahan,PARTAI BERKARYA,JASMINE RAVASIA,FAIZAL KAMIL
asahan,PARTAI BERKARYA,Ir. NEFONTA SEMBIRING,DEWI ANGGRAENI
asahan,PARTAI BULAN BINTANG,H. AZWIR,NIHAYA HANUM
asahan,PARTAI BULAN BINTANG,"HAKIM HATTA, A.Md",ALLENIDEKANIA
asahan,PARTAI BULAN BINTANG,FITRIANI,ABDURRAHMAN
asahan,PARTAI BULAN BINTANG,Drs. RABU ALAM SYAHPUTRA,FITRIANI
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"Drs. DJAROT SAIFUL HIDAYAT, M.S.",HAPPY FARIDA
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"Dr. JUNIMART GIRSANG, S.H, MBA.,M.H.",RISAN ULI SIDABUTAR
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"BRIGJEN TNI (PURN) TARIDA H. SINAMBELA, S.IP",LAMRIA BR. PASARIBU
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"HJ. ALIA MAISARAH, S.IP., M.Si.",IDIAL FITRA HANIF
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"WESLY SILALAHI, S.H.,M.Kn",LISWATI
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,HAJI EDDI RANGKUTI,UMMI KALSUM SIREGAR
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"WIWI YUNIARTI, S.E.",IRZAN SATI
asahan,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"JENRI SINAGA, S.E, M.M.","Dr.Purnama T Sianturi, SH, Mhum"
asahan,PARTAI GERAKAN INDONESIA RAYA,MARTIN H HUTABARAT,JULI SUHAERANI POERBA
asahan,PARTAI GERAKAN INDONESIA RAYA,"Prof. DR, Ir. DJOHAR ARIFIN HUSIN",HJ. MARINA BINTI HAJI ABDUL MAJID HUTABARAT
asahan,PARTAI GERAKAN INDONESIA RAYA,"NORA MALAU, S.Th, M.Th",BAPAK
asahan,PARTAI GERAKAN INDONESIA RAYA,THOMAS JOVERSON GINTING,LENNY MARLINA BR SEMBIRING
asahan,PARTAI GERAKAN INDONESIA RAYA,"SUGIAT SANTOSO, SE., M.SP",RINI NI ILMA ST
asahan,PARTAI GERAKAN INDONESIA RAYA,"SRI KUMALA DEVI, Am. Keb.",AYAH
asahan,PARTAI GERAKAN INDONESIA RAYA,"JONNY BUYUNG SARAGI, S.H., M.H.",FEMMY MERRY HELENA SIMANUNGKALIT
asahan,PARTAI GERAKAN INDONESIA RAYA,Ir. ANDI AKMAL AMNUR,DRA.AGUSTINA
asahan,PARTAI GERAKAN INDONESIA RAYA,"Drs. GATTA CHAIRUDDIN, SH",R.INNE INDRIANY NATANEGARA
asahan,PARTAI GOLONGAN KARYA,H. AHMAD DOLI KURNIA TANDJUNG,Yanti Sunanti
asahan,PARTAI GOLONGAN KARYA,Dr. CAPT ANTHON SIHOMBING,Nertyna Tamana Simbolon
asahan,PARTAI GOLONGAN KARYA,"IRAMA ANGKAT, S.Sos.I., M.Si",THOMAS ANTHONY FLITCROFT
asahan,PARTAI GOLONGAN KARYA,Ir. ALIWONGSO HALOMOAN SINAGA,ALM. DAISY DORTHIA TAMBUNAN
asahan,PARTAI GOLONGAN KARYA,"DELIA PRATIWI BR. SITEPU, S.H.","REZA DOFIT LESTARI, SE, M.AP"
asahan,PARTAI GOLONGAN KARYA,"ADHERIE ZULFIKRI, S.H.","EKA APRIANTY, SH"
asahan,PARTAI GOLONGAN KARYA,Ir. TENGKU M. NURHAFIDZ,YULIANA FITRIA SARI
asahan,PARTAI GOLONGAN KARYA,"ANGGIAT BARIS MANGISI MANALU, S.Pd., S.H","ERIKA AMBARITA, S.Pd, MM"
asahan,PARTAI KEADILAN SEJAHTERA,H. ANSORY SIREGAR,ANITA ZAHARAH HARAHAP
asahan,PARTAI KEADILAN SEJAHTERA,"DR. USMAN JAKFAR, LC., MA",DR. PPINTA PUDIYANTI SIREGAR MSC
asahan,PARTAI KEADILAN SEJAHTERA,"SYAHFITRI HANI HARAHAP, SH",Pery A
asahan,PARTAI KEADILAN SEJAHTERA,SRI FRA PANTI,"SURIANDA LUBIS, S.AG."
asahan,PARTAI KEADILAN SEJAHTERA,"H. SANUSI GHAZALI PANE, SE., M.Si","ANITA HILDA, S.Si, Apt"
asahan,PARTAI KEADILAN SEJAHTERA,SITI JULAEHA,Sutanto
asahan,PARTAI KEBANGKITAN BANGSA,RAZMAN ARIF,Ade Suryani
asahan,PARTAI KEBANGKITAN BANGSA,"IMRAN MUCHTAR, BSC, SH",NAZARIAH
asahan,PARTAI KEBANGKITAN BANGSA,DAMAI YONA NAINGGOLAN,Nasip Parulian Simamora
asahan,PARTAI KEBANGKITAN BANGSA,"H. SURATMAN, SP","HJ.FARIDAH, Spd"
asahan,PARTAI KEBANGKITAN BANGSA,"PARDAMEAN SIREGAR, S.P., M.A.P.",Delima Engliwati Napitupulu
asahan,PARTAI KEBANGKITAN BANGSA,"SEVEN SIMANJUNTAK, S.Kep., Ners.",Jr. Sahat Pardede
asahan,PARTAI KEBANGKITAN BANGSA,A. JABIDI RITONGA,Lili Safitri
asahan,PARTAI KEBANGKITAN BANGSA,OK ZULKIFLIE,SYAFA ATI
asahan,PARTAI NASDEM,"Dr. NURHAJIZAH M, SH, MH",TUNAS DWI DHARTO
asahan,PARTAI NASDEM,"JORDIMAN PURBA, SE","Sawitri Marbun,SE"
asahan,PARTAI NASDEM,"TUMPU CAPAH, IR, M.Si.",Suryani Angkat
asahan,PARTAI PERSATUAN PEMBANGUNAN,MAYLANINGSIH SUNDARI,Edwin Widiyanto
asahan,PARTAI PERSATUAN PEMBANGUNAN,H. MUZAKHIR RIDA,Liza Novira
asahan,PARTAI PERSATUAN PEMBANGUNAN,"HERI INDRA UTAMA, SH",Fatmah Yulianita
asahan,PARTAI PERSATUAN PEMBANGUNAN,EFRIDA RANA FRISTIANTI,Agus Mrsyah
asahan,PARTAI PERSATUAN PEMBANGUNAN,INDRA SURYANTO IR,Sriwahyuni ST
asahan,PARTAI PERSATUAN PEMBANGUNAN,H. USMAN EFFENDI SITORUS S.AG,"Isna Imelda Lubis, S.HI"
asahan,PARTAI SOLIDARITAS INDONESIA,SALOMO LUMBAN TOBING,Imelda Yohana Rosalina Pangaribuan
asahan,PARTAI SOLIDARITAS INDONESIA,"MIKHAEL MESTRO M.S, SST. Par., MM",IRA NOOR FITRIA KUSUMA W
asahan,PARTAI SOLIDARITAS INDONESIA,"IR. HASUDUNGAN LIMBONG, MT",Maria Evita Eva
